record_type,fips,name,parcel_count,stratmap_vintage,prop_id_bad_rate,join_key,cad_url,cad_verification,vendor,adversarial,risk_classes,cost_est_usd
county,48287,Lee,16091,202503,0.0291,prop_id,,unverified,,,,0.28
county,48289,Leon,27573,202505,0.0549,prop_id,,unverified,,,,0.47
county,48291,Liberty,164178,202503,0.01,prop_id,,unverified,,,,2.81
county,48293,Limestone,21727,202509,0.0,prop_id,,unverified,,,,0.37
county,48295,Lipscomb,11030,202508,0.3765,geo_id_or_address_crosswalk,,unverified,,,crosswalk-required,0.19
county,48297,Live Oak,16840,202503,0.0891,prop_id,,unverified,,,,0.29
county,48299,Llano,38879,202503,0.0055,prop_id,,unverified,,,,0.67
county,48301,Loving,1918,202505,0.0188,prop_id,,unverified,,,,0.03
county,48303,Lubbock,135112,202507,0.0,prop_id,,unverified,,,,2.31
county,48305,Lynn,7334,202505,0.0394,prop_id,,unverified,,,,0.13
county,48307,McCulloch,10782,202505,0.051,prop_id,,unverified,,,,0.18
county,48309,McLennan,115362,202503,0.001,prop_id,https://services8.arcgis.com/5e4b1SY8bogTc3pH/arcgis/rest/services/McLennanCADWebService/FeatureServer,verified,bis-consultants,,bis-field-template,1.97
county,48311,McMullen,4188,202503,0.0903,prop_id,,unverified,,,,0.07
county,48313,Madison,10308,202503,0.0055,prop_id,,unverified,,,,0.18
county,48315,Marion,19841,202503,0.0751,prop_id,,unverified,,,,0.34
county,48317,Martin,7256,202505,0.0364,prop_id,,unverified,,,,0.12
county,48319,Mason,9096,202503,0.0231,prop_id,,unverified,,,,0.16
county,48321,Matagorda,37215,202507,0.0283,prop_id,,unverified,,,,0.64
county,48323,Maverick,26048,202507,0.0,prop_id,,unverified,,,,0.45
county,48325,Medina,44330,202503,0.0071,prop_id,,unverified,,,,0.76
county,48327,Menard,5708,202505,0.0032,prop_id,,unverified,,,,0.1
county,48329,Midland,75646,202507,0.0356,prop_id,,unverified,,,,1.29
county,48331,Milam,20992,202503,0.0019,prop_id,,unverified,,,,0.36
county,48333,Mills,9026,202503,0.0211,prop_id,,unverified,,,,0.15
county,48335,Mitchell,8743,202503,0.0032,prop_id,,unverified,,,,0.15
county,48337,Montague,24872,202505,0.0628,prop_id,,unverified,,,,0.43
county,48339,Montgomery,320915,202507,0.0,prop_id,,unverified,,,,5.49
county,48341,Moore,12256,202503,0.0301,prop_id,,unverified,,,,0.21
county,48343,Morris,11898,202505,0.0261,prop_id,,unverified,,,,0.2
county,48345,Motley,9374,202508,0.5281,geo_id_or_address_crosswalk,,unverified,,,crosswalk-required,0.16
county,48347,Nacogdoches,48004,202507,0.0371,prop_id,,unverified,,,,0.82
county,48349,Navarro,46167,202503,0.004,prop_id,,unverified,,,,0.79
county,48351,Newton,23278,202503,0.0821,prop_id,,unverified,,,,0.4
county,48353,Nolan,13241,202505,0.0403,prop_id,,unverified,,,,0.23
county,48355,Nueces,157198,202507,0.0053,prop_id,,unverified,,,,2.69
county,48357,Ochiltree,6521,202503,0.0017,prop_id,,unverified,,,,0.11
county,48359,Oldham,4162,202503,0.9995,geo_id_or_address_crosswalk,,unverified,,,crosswalk-required,0.07
county,48361,Orange,50337,202503,0.0053,prop_id,,unverified,,,,0.86
county,48363,Palo Pinto,38704,202509,0.0511,prop_id,,unverified,,,,0.66
county,48365,Panola,18814,202505,0.0789,prop_id,,unverified,,,,0.32
county,48367,Parker,100555,202507,0.0644,prop_id,,unverified,,,,1.72
county,48369,Parmer,6606,202503,0.0465,prop_id,,unverified,,,,0.11
county,48371,Pecos,14720,202508,0.0,prop_id,,unverified,,,,0.25
county,48373,Polk,60178,202503,0.0259,prop_id,,unverified,,,,1.03
county,48375,Potter,53490,202508,0.0,prop_id,,unverified,,,,0.92
county,48377,Presidio,18436,202503,0.0449,prop_id,,unverified,,,,0.32
county,48379,Rains,12312,202503,0.0054,prop_id,,unverified,,,,0.21
county,48381,Randall,64824,202508,0.0,prop_id,,unverified,,,,1.11
county,48383,Reagan,4607,202505,0.0078,prop_id,,unverified,,,,0.08
county,48385,Real,8272,202503,0.0435,prop_id,,unverified,,,,0.14
county,48387,Red River,13730,202503,0.1374,prop_id,,unverified,,,,0.23
county,48389,Reeves,14975,202508,0.0,prop_id,,unverified,,,,0.26
county,48391,Refugio,12483,202505,0.0536,prop_id,,unverified,,,,0.21
county,48393,Roberts,2574,202503,0.9992,geo_id_or_address_crosswalk,,unverified,,,crosswalk-required,0.04
county,48395,Robertson,16935,202503,1.0,geo_id_or_address_crosswalk,,unverified,,,crosswalk-required,0.29
county,48397,Rockwall,52739,202507,0.0,prop_id,,honestly_absent,rockwall-no-rest,REPRODUCED,no-rest,0.9
county,48399,Runnels,15009,202507,0.0174,prop_id,,unverified,,,,0.26
county,48401,Rusk,38106,202505,0.0519,prop_id,,unverified,,,,0.65
county,48403,Sabine,23377,202507,0.0414,prop_id,,unverified,,,,0.4
county,48405,San Augustine,12724,202505,0.1069,prop_id,,unverified,,,,0.22
county,48407,San Jacinto,36346,202503,0.0202,prop_id,,unverified,,,,0.62
county,48409,San Patricio,51395,202503,0.0163,prop_id,,unverified,,,,0.88
county,48411,San Saba,11596,202505,0.0592,prop_id,,unverified,,,,0.2
county,48413,Schleicher,6559,202503,0.0189,prop_id,,unverified,,,,0.11
county,48415,Scurry,13849,202503,0.0195,prop_id,,unverified,,,,0.24
county,48417,Shackelford,5542,202503,0.0863,prop_id,,unverified,,,,0.09
county,48419,Shelby,21378,202507,0.0013,prop_id,,unverified,,,,0.37
county,48421,Sherman,3531,202505,0.0099,prop_id,,unverified,,,,0.06
county,48423,Smith,140245,202508,0.0,prop_id,,unverified,,,,2.4
county,48425,Somervell,6823,202507,0.0164,prop_id,,unverified,,,,0.12
county,48427,Starr,38571,202503,0.0954,prop_id,,unverified,,,,0.66
county,48429,Stephens,12691,202503,0.1202,prop_id,,unverified,,,,0.22
county,48431,Sterling,2365,202505,0.0017,prop_id,,unverified,,,,0.04
county,48433,Stonewall,5247,202505,0.0478,prop_id,,unverified,,,,0.09
county,48435,Sutton,5905,202503,0.0246,prop_id,,unverified,,,,0.1
county,48437,Swisher,6657,202503,0.0092,prop_id,,unverified,,,,0.11
county,48439,Tarrant,757171,202507,0.0,prop_id,https://mapit.tarrantcounty.com/arcgis/rest/services/TADParcels/FeatureServer,partial,unknown,,,12.96
county,48441,Taylor,70602,202503,0.0254,prop_id,,unverified,,,,1.21
county,48443,Terrell,5562,202503,0.0708,prop_id,,unverified,,,,0.1
county,48445,Terry,9113,202507,0.0104,prop_id,,unverified,,,,0.16
county,48447,Throckmorton,4669,202505,0.0268,prop_id,,unverified,,,,0.08
county,48449,Tom Green,20841,202503,0.0088,prop_id,,unverified,,,,0.36
county,48451,Tom Green,58686,202503,0.0022,prop_id,,unverified,,,,1.0
