"propId","geoId","txgioGeomBytes","bcadPolyForPropId","bcadNonPolyForPropId","bcadPolySameGeoId","successorsCoveringFootprint","successorPropIds","classification"
"28275","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28299","","492","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28432","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28440","","684","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28448","","1260","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28464","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28541","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28622","R28622","348","0","0","0","0","","GONE_FROM_BCAD"
"28627","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28648","R28648","3181","0","0","0","0","","GONE_FROM_BCAD"
"28650","","540","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28658","","588","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"29041","R29041","300","0","0","0","0","","GONE_FROM_BCAD"
"29206","R29206","899","0","0","0","1","8705867","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"29229","R29229","348","0","0","0","0","","GONE_FROM_BCAD"
"29269","R29269","300","0","0","0","0","","GONE_FROM_BCAD"
"29528","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"29573","R29573","348","0","0","0","0","","GONE_FROM_BCAD"
"29581","R29581","348","0","0","0","0","","GONE_FROM_BCAD"
"29589","R29589","348","0","0","0","0","","GONE_FROM_BCAD"
"29653","R29653","492","0","0","0","0","","GONE_FROM_BCAD"
"29704","R29704","300","0","0","0","0","","GONE_FROM_BCAD"
"29774","R29774","540","0","0","0","2","8741304|8728609","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"29832","R29832","300","0","0","0","0","","GONE_FROM_BCAD"
"29840","R29840","300","0","0","0","0","","GONE_FROM_BCAD"
"29861","R29861","636","0","0","0","0","","GONE_FROM_BCAD"
