id,authority
110662,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110742,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
100225,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
100513,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
100515,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
100582,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
100940,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101092,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101224,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101222,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101336,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101337,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101341,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101351,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101441,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101450,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101537,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101536,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101560,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101576,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101638,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101663,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101698,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101701,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
105457,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101899,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101930,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
101951,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
129746,Hays County CAD roll (cad_property) for county_fips 48209 at declared tax_year 2026
125211,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125232,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125234,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
182484,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
54991,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125342,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125359,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125366,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125367,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
40935,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125497,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125502,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125507,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
43496,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
38395,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125568,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
